"Player"
"Zukertort  Johannes H"
"Steinitz  Wilhelm"
"Chigorin  Mikhail I"
"Gunsberg  Isidor A"
"Lasker  Emanuel"
"Marshall  Frank J"
"Tarrasch  Siegbert"
"Janowski  Dawid M"
"Schlechter  Carl"
"Capablanca  Jose Raul"
"Alekhine  Alexander A"
"Bogoljubow  Efim D"
"Euwe  Max"
"Smyslov  Vassily V"
"Botvinnik  Mikhail M"
"Keres  Paul"
"Reshevsky  Samuel H"
"Bronstein  David I"
"Tal  Mikhail N"
"Petrosian  Tigran V"
"Spassky  Boris V"
"Fischer  Robert J"
"Korchnoi  Viktor L"
"Karpov  Anatoly"
"Kasparov  Gary"
