"MoveNumber","Side","Move","FEN","GameNumber"
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",1
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",2
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",3
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",4
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",5
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",6
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",7
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",8
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",9
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",10
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",11
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",12
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",13
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",14
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",15
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",16
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",17
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",18
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",19
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",20
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",21
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",22
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",23
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",24
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",25
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",26
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",27
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",28
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",29
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",30
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",31
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",32
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",33
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",34
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",35
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",36
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",37
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",38
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",39
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",40
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",41
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",42
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",43
1,"white","d4","rnbqkbnrpppppppp883P48PPP1PPPPRNBQKBNR",44
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",45
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",46
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",47
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",48
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",49
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",50
1,"white","e4","rnbqkbnrpppppppp884P38PPPP1PPPRNBQKBNR",51
1,"white","Nf3","rnbqkbnrpppppppp8885N2PPPPPPPPRNBQKB1R",52
